symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
GILD,2024-04-26 15:00:00,NEXT_DAY_EXIT,65.76,65.69424000000001,313,20562.297120000003,1.565,20.58287999999918,20560.732120000004,215.97000000000372,171.89021000000454,0.010603964960811618,0.008430601932113592
FTNT,2024-04-26 15:50:00,BUY,63.99,64.05399,238,15244.849619999999,1.19,15.229619999999258,15246.03962,,,,
FTNT,2024-04-29 15:41:00,NEXT_DAY_EXIT,64.049,63.98495100000001,238,15228.418338000003,1.19,15.243661999999318,15227.228338000003,14.042000000001096,-18.811281999998222,0.000922019065479053,-0.0012338471149793732
APP,2024-04-26 15:58:00,BUY,73.87,73.94386999999999,534,39486.02658,2.67,39.44657999999211,39488.696579999996,,,,
APP,2024-04-29 15:46:00,NEXT_DAY_EXIT,72.36,72.28764,534,38601.59976,2.67,38.64024000000177,38598.92976,-806.3400000000028,-889.7668200000046,-0.020441315825098214,-0.022532190147057127
CMG,2024-04-26 16:31:00,BUY,63.82,63.88381999999999,224,14309.975679999998,1.12,14.295679999998356,14311.095679999999,,,,
CMG,2024-04-29 15:00:00,NEXT_DAY_EXIT,64.08,64.01592,224,14339.566079999999,1.12,14.353920000000926,14338.446079999998,58.239999999999554,27.350399999998626,0.004073958006894359,0.001911132495481899
MSTR,2024-04-29 15:57:00,BUY,129.242,129.37124199999997,132,17077.003943999996,1.0,17.059943999996904,17078.003943999996,,,,
MSTR,2024-04-30 14:04:00,STOP_LOSS,108.278,108.16972200000001,132,14278.403304000001,1.0,14.292695999999808,14277.403304000001,-2767.247999999998,-2800.6006399999974,-0.16220733198186338,-0.16398875706923174
WLDN,2024-05-01 15:57:00,BUY,28.69,28.71869,537,15421.936529999999,2.685,15.406529999998625,15424.621529999999,,,,
WLDN,2024-05-02 15:02:00,NEXT_DAY_EXIT,28.49,28.461509999999997,537,15283.830869999998,2.685,15.299130000000783,15281.145869999998,-107.40000000000153,-143.4756600000023,-0.006971070059254195,-0.00930172968723741
ZTS,2024-05-02 15:52:00,BUY,167.51,167.67750999999998,166,27834.46666,1.0,27.80665999999883,27835.46666,,,,
ZTS,2024-05-03 15:55:00,NEXT_DAY_EXIT,167.09,166.92291,166,27709.20306,1.0,27.73694000000029,27708.20306,-69.71999999999792,-127.2635999999982,-0.002507312996238956,-0.004571994482955013
GEV,2024-05-03 16:00:00,BUY,166.26,166.42625999999998,71,11816.264459999999,1.0,11.80445999999958,11817.264459999999,,,,
GEV,2024-05-06 15:34:00,NEXT_DAY_EXIT,170.53,170.35947,71,12095.522369999999,1.0,12.107630000000967,12094.522369999999,303.17000000000075,277.2579099999998,0.0256826657043186,0.023462105882328697
